name,smiles,fragments,frags_joined
PBQ6,Cc1ccc(c2c3nc(C4=CC(F)=C(S4)CC(CC)CCCC)c(C5=CC(F)=C(S5)CC(CC)CCCC)nc3c(c6ccc(c7cc8c(c(C9=CC(F)=C(CC(CCCC)CC)S9)c(ccs%10)c%10c8C%11=CC(F)=C(CC(CC)CCCC)S%11)s7)s6)c(F)c2F)s1,"['Cc1cccs1', 'Fc1cc2nccnc2cc1F', 'Fc1ccsc1', 'CCCCC(C)CC', 'Fc1ccsc1', 'CCCCC(C)CC', 'c1ccsc1', 'c1cc2cc3sccc3cc2s1', 'Fc1ccsc1', 'CCCCC(C)CC', 'Fc1ccsc1', 'CCCCC(C)CC']",Cc1cccs1;Fc1cc2nccnc2cc1F;Fc1ccsc1;CCCCC(C)CC;Fc1ccsc1;CCCCC(C)CC;c1ccsc1;c1cc2cc3sccc3cc2s1;Fc1ccsc1;CCCCC(C)CC;Fc1ccsc1;CCCCC(C)CC
PBQ9,Cc1ccc(c2c3nc(C4=CC(Cl)=C(S4)CC(CC)CCCC)c(C5=CC(Cl)=C(S5)CC(CC)CCCC)nc3c(c6ccc(c7sc8c(C9=CC(F)=C(CC(CC)CCCC)S9)c%10c(c(C%11=CC(F)=C(CC(CCCC)CC)S%11)c8c7)scc%10)s6)c(F)c2F)s1,"['Cc1cccs1', 'Fc1cc2nccnc2cc1F', 'Clc1ccsc1', 'CCCCC(C)CC', 'Clc1ccsc1', 'CCCCC(C)CC', 'c1ccsc1', 'c1cc2cc3sccc3cc2s1', 'Fc1ccsc1', 'CCCCC(C)CC', 'Fc1ccsc1', 'CCCCC(C)CC']",Cc1cccs1;Fc1cc2nccnc2cc1F;Clc1ccsc1;CCCCC(C)CC;Clc1ccsc1;CCCCC(C)CC;c1ccsc1;c1cc2cc3sccc3cc2s1;Fc1ccsc1;CCCCC(C)CC;Fc1ccsc1;CCCCC(C)CC
PBDF-NS,FC1=C(C2=CC=C(C3=CC4=C(C5=CC=C6C(C=CC(SCC(CCCCCCCC)CCCCCC)=C6)=C5)C7=C(C=CO7)C(C8=CC=C9C(C=CC(SCC(CCCCCCCC)CCCCCC)=C9)=C8)=C4O3)S2)C%10=NN(CC(CCCCCCCC)CCCCCC)N=C%10C(C%11=CC=C(C)S%11)=C1F,"['FC1CC2NNNC2CC1F', 'c1ccsc1', 'c1cc2cc3occc3cc2o1', 'c1ccc2ccccc2c1', 'CCCCCCCCC(CS)CCCCCC', 'c1ccc2ccccc2c1', 'CCCCCCCCC(CS)CCCCCC', 'CCCCCCCCC(C)CCCCCC', 'Cc1cccs1']",FC1CC2NNNC2CC1F;c1ccsc1;c1cc2cc3occc3cc2o1;c1ccc2ccccc2c1;CCCCCCCCC(CS)CCCCCC;c1ccc2ccccc2c1;CCCCCCCCC(CS)CCCCCC;CCCCCCCCC(C)CCCCCC;Cc1cccs1
PThBDTP,CC1=CC=C(C2=CC(N(CC(CCCCCCCC)CCCCCCCCCC)C(C3=C4SC(C(S5)=CC6=C5C7=C(N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C=C(C)S7)=C3)=O)=C4S2)S1,"['Cc1cccs1', 'O=C1NC2CCSC2C2SCCC12', 'CCCCCCCCCCC(C)CCCCCCCC', 'CC1CC2NC(=O)C3CCSC3C2S1', 'CCCCCCCCCCC(C)CCCCCCCC']",Cc1cccs1;O=C1NC2CCSC2C2SCCC12;CCCCCCCCCCC(C)CCCCCCCC;CC1CC2NC(=O)C3CCSC3C2S1;CCCCCCCCCCC(C)CCCCCCCC
PSeTD2,O=C(N1CC(CCCCCC)CCCCCCCC)C2=C(C3=C1C=C(S3)C([Se]4)=CC=C4C)SC5=C2SC6=C5C(N(CC(CCCCCC)CCCCCCCC)C7=C6SC(C)=C7)=O,"['C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5', 'CCCCCCCCC(C)CCCCCC', 'CCCCCCCCC(C)CCCCCC']",C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5;CCCCCCCCC(C)CCCCCC;CCCCCCCCC(C)CCCCCC
PThTD2,O=C(N1CC(CCCCCC)CCCCCCCC)C2=C(C3=C1C=C(S3)C(S4)=CC=C4C)SC5=C2SC6=C5C(N(CC(CCCCCC)CCCCCCCC)C7=C6SC(C)=C7)=O,"['C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5', 'CCCCCCCCC(C)CCCCCC', 'Cc1cccs1', 'CCCCCCCCC(C)CCCCCC']",C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5;CCCCCCCCC(C)CCCCCC;Cc1cccs1;CCCCCCCCC(C)CCCCCC
PSeTD1,O=C(N1CC(CCCCCCCCCC)CCCCCCCC)C2=C(C3=C1C=C(S3)C([Se]4)=CC=C4C)SC5=C2SC6=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C7=C6SC(C)=C7)=O,"['C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5', 'CCCCCCCCCCC(C)CCCCCCCC', 'CCCCCCCCCCC(C)CCCCCCCC']",C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5;CCCCCCCCCCC(C)CCCCCCCC;CCCCCCCCCCC(C)CCCCCCCC
PThTD1,O=C(N1CC(CCCCCCCCCC)CCCCCCCC)C2=C(C3=C1C=C(S3)C(S4)=CC=C4C)SC5=C2SC6=C5C(N(CC(CCCCCCCCCC)CCCCCCCC)C7=C6SC(C)=C7)=O,"['C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5', 'CCCCCCCCCCC(C)CCCCCCCC', 'Cc1cccs1', 'CCCCCCCCCCC(C)CCCCCCCC']",C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5;CCCCCCCCCCC(C)CCCCCCCC;Cc1cccs1;CCCCCCCCCCC(C)CCCCCCCC
PM6,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC(F)=C(CC(CC)CCCC)S%10,"['Cc1cc2cc3sccc3cc2s1', 'Fc1ccsc1', 'CCCCC(C)CC', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'CCCCC(C)CC', 'CCCCC(C)CC', 'Cc1cccs1', 'Fc1ccsc1', 'CCCCC(C)CC']",Cc1cc2cc3sccc3cc2s1;Fc1ccsc1;CCCCC(C)CC;c1ccsc1;O=C1c2cscc2C(=O)c2cscc21;CCCCC(C)CC;CCCCC(C)CC;Cc1cccs1;Fc1ccsc1;CCCCC(C)CC
PM7,CC(S1)=CC2=C1C(C3=CC(Cl)=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CCCC)CC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC(Cl)=C(CC(CCCC)CC)S%10,"['Cc1cc2cc3sccc3cc2s1', 'Clc1ccsc1', 'CCCCC(C)CC', 'c1ccsc1', 'O=C1c2cscc2C(=O)c2cscc21', 'CCCCC(C)CC', 'CCCCC(C)CC', 'Cc1cccs1', 'Clc1ccsc1', 'CCCCC(C)CC']",Cc1cc2cc3sccc3cc2s1;Clc1ccsc1;CCCCC(C)CC;c1ccsc1;O=C1c2cscc2C(=O)c2cscc21;CCCCC(C)CC;CCCCC(C)CC;Cc1cccs1;Clc1ccsc1;CCCCC(C)CC
