name,frag_0|c1ccsc1,frag_1|CCCCC(C)CC,frag_2|Cc1cccs1,frag_3|c1cc2cc3sccc3cc2s1,frag_4|Fc1ccsc1,frag_5|CCCCCCCCC(C)CCCCCC,frag_6|Clc1ccsc1,frag_7|Cc1cc2cc3sccc3cc2s1,frag_8|CCCCCC,frag_9|CCCCCCC(C)CCCC,frag_10|CCCCCCCCCCC(C)CCCCCCCC,frag_11|CCCCC(CC)CS,frag_12|CCCCCCCC,frag_13|FC1CC2NNNC2CC1F,frag_14|O=C1c2cscc2C(=O)c2cscc21,frag_15|c1ccccc1,frag_16|CCCCC(CC)CO,frag_17|CCCCC(CC)COC=O,frag_18|Fc1cc2nccnc2cc1F,frag_19|CC[Si](CC)(CC)c1cccs1,frag_20|Oc1csc(=S)[nH]1,frag_21|CC,frag_22|CCCCCCC(CS)CCCC,frag_23|CCCCCCCCC(CS)CCCCCC,frag_24|Fc1ccccc1,frag_25|Cc1scc2scc(F)c12,frag_26|Fc1cccc(F)c1,frag_27|O=C1NC(=O)c2cscc21,frag_28|CCCCCCCCC(CCCCCC)COC=O,frag_29|Fc1cc(F)c(F)cc1F,frag_30|CCCCCCC(CCCC)COC=O,frag_31|Cc1sccc1Cl,frag_32|Cc1sccc1F,frag_33|O=C1NC(=O)C2CC3NNNC3CC12,frag_34|c1cc2cc3occc3cc2o1,frag_35|c1nc2cc3scnc3cc2s1,frag_36|C1CCSC1,frag_37|C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5,frag_38|C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5,frag_39|CCCC,frag_40|CCCCC(CC)CC=O,frag_41|CCCCC(S)CC,frag_42|CCCCCCC,frag_43|CCCCCCCCC(CO)CCCCCC,frag_44|CCCCCCCCCC,frag_45|CCCCCCCCCC(CCCCCC)OC=O,frag_46|CCCCCCCCCCC,frag_47|CCCCCCCCCCCCC(C)CCCCCCCCCC,frag_48|CCCCCCCCCCOC=O,frag_49|CCCCCCCCO,frag_50|CCCCCCCCOC=O,frag_51|CCCCCCCCS,frag_52|CCC[Si](CCC)(CCC)c1cc2sccc2s1,frag_53|CCC[Si](CCC)(CCC)c1cccs1,frag_54|CCC[Si](CCC)(CCC)c1sccc1Cl,frag_55|Clc1cccs1,frag_56|Fc1ccccc1F,frag_57|Fc1cscc1F,frag_58|N#CC(C#N)=c1[nH]c(=O)c(=Cc2cccs2)s1,frag_59|c1ccc2ccccc2c1,frag_60|c1ccc2sccc2c1,frag_61|c1nc2scnc2s1,frag_62|c1nncs1,frag_63|C1=NC2c3ccsc3-c3sccc3C2N=C1,frag_64|CC1CC2NC(=O)C3CCSC3C2S1,frag_65|CCC,frag_66|CCCCC(CC)CC,frag_67|CCCCC(CC)C[Si]1(CC(CC)CCCC)c2ccsc2-c2sccc21,frag_68|CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3ccsc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)[se]3)c3ccsc23)[se]1,frag_69|CCOC=O,frag_70|Cc1c(F)ccc2nsnc12,frag_71|Cc1cc(F)cs1,frag_72|Cc1cc2cc3occc3cc2o1,frag_73|Cc1cc2cc3sc(-c4ccc(-c5nc6cc7sc(-c8ccc[se]8)nc7cc6s5)[se]4)cc3cc2s1,frag_74|Cc1cccc(F)c1,frag_75|Cc1ccsc1,frag_76|Cc1cnc2cc(F)c(F)cc2n1,frag_77|Cc1scc2c(Cl)csc12,frag_78|Cc1scc2c(F)csc12,frag_79|Cc1scc2c1C(=O)NC2=O,frag_80|Cc1scc2sccc12,frag_81|ClC1CC2NNNC2CC1Cl,frag_82|Fc1cc2nsnc2cc1F,frag_83|Fc1ccc2nsnc2c1,frag_84|N#Cc1ccsc1,frag_85|O=C1NC(=O)C2CCSC2C2SCCC12,frag_86|O=C1NC2CCSC2C2SCCC12,frag_87|O=C1c2ccccc2C(=O)c2cscc21,frag_88|c1cc2c3c(ccc2c2c1=NN=N2)=NN=N3,frag_89|c1cc2c3c(ccc2c2c1N=NN=2)N=NN=3,frag_90|c1cc2c3nsnc3c3ccsc3c2s1,frag_91|c1cc2sc3cc4c(cc3c2s1)sc1ccsc14
2D-PBTCl,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D-PBTCl2,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDFPS-ffQx,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTR,4,2,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTR-Cl,4,2,2,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D18,1,2,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DRCN5T,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRTB-T-C4,6,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHFQx-T,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFQx-T,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J100,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
