frag_id,fragment_smiles,freq
0,c1ccsc1,182
1,CCCCC(C)CC,136
2,Cc1cccs1,79
3,c1cc2cc3sccc3cc2s1,55
4,Fc1ccsc1,50
5,CCCCCCCCC(C)CCCCCC,34
6,Clc1ccsc1,29
7,Cc1cc2cc3sccc3cc2s1,26
8,CCCCCC,24
9,CCCCCCC(C)CCCC,20
10,CCCCCCCCCCC(C)CCCCCCCC,20
11,CCCCC(CC)CS,18
12,CCCCCCCC,18
13,FC1CC2NNNC2CC1F,18
14,O=C1c2cscc2C(=O)c2cscc21,17
15,c1ccccc1,14
16,CCCCC(CC)CO,12
17,CCCCC(CC)COC=O,10
18,Fc1cc2nccnc2cc1F,9
19,CC[Si](CC)(CC)c1cccs1,8
20,Oc1csc(=S)[nH]1,8
21,CC,6
22,CCCCCCC(CS)CCCC,6
23,CCCCCCCCC(CS)CCCCCC,6
24,Fc1ccccc1,6
25,Cc1scc2scc(F)c12,5
26,Fc1cccc(F)c1,5
27,O=C1NC(=O)c2cscc21,5
28,CCCCCCCCC(CCCCCC)COC=O,4
29,Fc1cc(F)c(F)cc1F,4
30,CCCCCCC(CCCC)COC=O,3
31,Cc1sccc1Cl,3
32,Cc1sccc1F,3
33,O=C1NC(=O)C2CC3NNNC3CC12,3
34,c1cc2cc3occc3cc2o1,3
35,c1nc2cc3scnc3cc2s1,3
36,C1CCSC1,2
37,C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5,2
38,C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5,2
39,CCCC,2
40,CCCCC(CC)CC=O,2
41,CCCCC(S)CC,2
42,CCCCCCC,2
43,CCCCCCCCC(CO)CCCCCC,2
44,CCCCCCCCCC,2
45,CCCCCCCCCC(CCCCCC)OC=O,2
46,CCCCCCCCCCC,2
47,CCCCCCCCCCCCC(C)CCCCCCCCCC,2
48,CCCCCCCCCCOC=O,2
49,CCCCCCCCO,2
50,CCCCCCCCOC=O,2
51,CCCCCCCCS,2
52,CCC[Si](CCC)(CCC)c1cc2sccc2s1,2
53,CCC[Si](CCC)(CCC)c1cccs1,2
54,CCC[Si](CCC)(CCC)c1sccc1Cl,2
55,Clc1cccs1,2
56,Fc1ccccc1F,2
57,Fc1cscc1F,2
58,N#CC(C#N)=c1[nH]c(=O)c(=Cc2cccs2)s1,2
59,c1ccc2ccccc2c1,2
60,c1ccc2sccc2c1,2
61,c1nc2scnc2s1,2
62,c1nncs1,2
63,C1=NC2c3ccsc3-c3sccc3C2N=C1,1
64,CC1CC2NC(=O)C3CCSC3C2S1,1
65,CCC,1
66,CCCCC(CC)CC,1
67,CCCCC(CC)C[Si]1(CC(CC)CCCC)c2ccsc2-c2sccc21,1
68,CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3ccsc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)[se]3)c3ccsc23)[se]1,1
69,CCOC=O,1
70,Cc1c(F)ccc2nsnc12,1
71,Cc1cc(F)cs1,1
72,Cc1cc2cc3occc3cc2o1,1
73,Cc1cc2cc3sc(-c4ccc(-c5nc6cc7sc(-c8ccc[se]8)nc7cc6s5)[se]4)cc3cc2s1,1
74,Cc1cccc(F)c1,1
75,Cc1ccsc1,1
76,Cc1cnc2cc(F)c(F)cc2n1,1
77,Cc1scc2c(Cl)csc12,1
78,Cc1scc2c(F)csc12,1
79,Cc1scc2c1C(=O)NC2=O,1
80,Cc1scc2sccc12,1
81,ClC1CC2NNNC2CC1Cl,1
82,Fc1cc2nsnc2cc1F,1
83,Fc1ccc2nsnc2c1,1
84,N#Cc1ccsc1,1
85,O=C1NC(=O)C2CCSC2C2SCCC12,1
86,O=C1NC2CCSC2C2SCCC12,1
87,O=C1c2ccccc2C(=O)c2cscc21,1
88,c1cc2c3c(ccc2c2c1=NN=N2)=NN=N3,1
89,c1cc2c3c(ccc2c2c1N=NN=2)N=NN=3,1
90,c1cc2c3nsnc3c3ccsc3c2s1,1
91,c1cc2sc3cc4c(cc3c2s1)sc1ccsc14,1
