name,frag_idx,fragment_smiles,frag_id
PBQ6,0,Cc1cccs1,2
PBQ6,1,Fc1cc2nccnc2cc1F,18
PBQ6,2,Fc1ccsc1,4
PBQ6,3,CCCCC(C)CC,1
PBQ6,4,Fc1ccsc1,4
PBQ6,5,CCCCC(C)CC,1
PBQ6,6,c1ccsc1,0
PBQ6,7,c1cc2cc3sccc3cc2s1,3
PBQ6,8,Fc1ccsc1,4
PBQ6,9,CCCCC(C)CC,1
PBQ6,10,Fc1ccsc1,4
PBQ6,11,CCCCC(C)CC,1
PBQ9,0,Cc1cccs1,2
PBQ9,1,Fc1cc2nccnc2cc1F,18
PBQ9,2,Clc1ccsc1,6
PBQ9,3,CCCCC(C)CC,1
PBQ9,4,Clc1ccsc1,6
PBQ9,5,CCCCC(C)CC,1
PBQ9,6,c1ccsc1,0
PBQ9,7,c1cc2cc3sccc3cc2s1,3
PBQ9,8,Fc1ccsc1,4
PBQ9,9,CCCCC(C)CC,1
PBQ9,10,Fc1ccsc1,4
PBQ9,11,CCCCC(C)CC,1
PBDF-NS,0,FC1CC2NNNC2CC1F,13
PBDF-NS,1,c1ccsc1,0
PBDF-NS,2,c1cc2cc3occc3cc2o1,34
PBDF-NS,3,c1ccc2ccccc2c1,59
PBDF-NS,4,CCCCCCCCC(CS)CCCCCC,23
PBDF-NS,5,c1ccc2ccccc2c1,59
PBDF-NS,6,CCCCCCCCC(CS)CCCCCC,23
PBDF-NS,7,CCCCCCCCC(C)CCCCCC,5
PBDF-NS,8,Cc1cccs1,2
PThBDTP,0,Cc1cccs1,2
PThBDTP,1,O=C1NC2CCSC2C2SCCC12,86
PThBDTP,2,CCCCCCCCCCC(C)CCCCCCCC,10
PThBDTP,3,CC1CC2NC(=O)C3CCSC3C2S1,64
PThBDTP,4,CCCCCCCCCCC(C)CCCCCCCC,10
PSeTD2,0,C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5,37
PSeTD2,1,CCCCCCCCC(C)CCCCCC,5
PSeTD2,2,CCCCCCCCC(C)CCCCCC,5
PThTD2,0,C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5,38
PThTD2,1,CCCCCCCCC(C)CCCCCC,5
PThTD2,2,Cc1cccs1,2
PThTD2,3,CCCCCCCCC(C)CCCCCC,5
PSeTD1,0,C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1cc(-c2ccc(C)[se]2)sc1=5,37
PSeTD1,1,CCCCCCCCCCC(C)CCCCCCCC,10
PSeTD1,2,CCCCCCCCCCC(C)CCCCCCCC,10
PThTD1,0,C=c1cc2[nH]c(=O)c3c4sc5c(c4sc3c2s1)C(=O)N=c1ccsc1=5,38
PThTD1,1,CCCCCCCCCCC(C)CCCCCCCC,10
PThTD1,2,Cc1cccs1,2
PThTD1,3,CCCCCCCCCCC(C)CCCCCCCC,10
PM6,0,Cc1cc2cc3sccc3cc2s1,7
PM6,1,Fc1ccsc1,4
PM6,2,CCCCC(C)CC,1
PM6,3,c1ccsc1,0
PM6,4,O=C1c2cscc2C(=O)c2cscc21,14
PM6,5,CCCCC(C)CC,1
PM6,6,CCCCC(C)CC,1
PM6,7,Cc1cccs1,2
PM6,8,Fc1ccsc1,4
PM6,9,CCCCC(C)CC,1
PM7,0,Cc1cc2cc3sccc3cc2s1,7
PM7,1,Clc1ccsc1,6
PM7,2,CCCCC(C)CC,1
PM7,3,c1ccsc1,0
PM7,4,O=C1c2cscc2C(=O)c2cscc21,14
PM7,5,CCCCC(C)CC,1
PM7,6,CCCCC(C)CC,1
PM7,7,Cc1cccs1,2
PM7,8,Clc1ccsc1,6
PM7,9,CCCCC(C)CC,1
2D-PBTCl2,0,Cc1scc2c(Cl)csc12,77
2D-PBTCl2,1,Clc1ccsc1,6
2D-PBTCl2,2,CCCCC(CC)COC=O,17
2D-PBTCl2,3,c1cc2cc3sccc3cc2s1,3
2D-PBTCl2,4,c1ccsc1,0
2D-PBTCl2,5,CCCCC(C)CC,1
2D-PBTCl2,6,c1ccsc1,0
2D-PBTCl2,7,CCCCC(C)CC,1
PBDB-T,0,Cc1cc2cc3sccc3cc2s1,7
PBDB-T,1,c1ccsc1,0
PBDB-T,2,CCCCC(C)CC,1
PBDB-T,3,c1ccsc1,0
PBDB-T,4,O=C1c2cscc2C(=O)c2cscc21,14
PBDB-T,5,CCCCC(C)CC,1
PBDB-T,6,CCCCC(C)CC,1
PBDB-T,7,Cc1cccs1,2
PBDB-T,8,c1ccsc1,0
PBDB-T,9,CCCCC(C)CC,1
PTB7-Th,0,Cc1cc2cc3sccc3cc2s1,7
PTB7-Th,1,c1ccsc1,0
PTB7-Th,2,CCCCC(C)CC,1
PTB7-Th,3,Cc1scc2scc(F)c12,25
PTB7-Th,4,CCCCC(CC)COC=O,17
PTB7-Th,5,c1ccsc1,0
PTB7-Th,6,CCCCC(C)CC,1
P3HT,0,Cc1cccs1,2
P3HT,1,CCCCCC,8
P3HT,2,c1ccsc1,0
P3HT,3,c1ccsc1,0
P3HT,4,CCCCCC,8
P3HT,5,Cc1cccs1,2
P3HT,6,CCCCCC,8
P3HT,7,CCCCCC,8
J71,0,Cc1cccs1,2
J71,1,FC1CC2NNNC2CC1F,13
J71,2,CCCCCCCCC(C)CCCCCC,5
J71,3,c1ccsc1,0
J71,4,Cc1cc2cc3sccc3cc2s1,7
J71,5,CCC[Si](CCC)(CCC)c1cccs1,53
J71,6,CCC[Si](CCC)(CCC)c1cccs1,53
PBDB-T-2Cl,0,Cc1cccs1,2
PBDB-T-2Cl,1,O=C1c2cscc2C(=O)c2cscc21,14
PBDB-T-2Cl,2,CCCCC(C)CC,1
PBDB-T-2Cl,3,CCCCC(C)CC,1
PBDB-T-2Cl,4,c1ccsc1,0
PBDB-T-2Cl,5,c1cc2cc3sccc3cc2s1,3
PBDB-T-2Cl,6,Clc1ccsc1,6
PBDB-T-2Cl,7,CCCCC(C)CC,1
PBDB-T-2Cl,8,Clc1ccsc1,6
PBDB-T-2Cl,9,CCCCC(C)CC,1
J51,0,FC1CC2NNNC2CC1F,13
J51,1,Cc1cccs1,2
J51,2,CCCCCCCC,12
J51,3,c1ccsc1,0
J51,4,c1cc2cc3sccc3cc2s1,3
J51,5,c1ccsc1,0
J51,6,CCCCCCCCC(C)CCCCCC,5
J51,7,c1ccsc1,0
J51,8,CCCCCCCCC(C)CCCCCC,5
PTQ10,0,Cc1cccs1,2
PTQ10,1,Fc1cc2nccnc2cc1F,18
PTQ10,2,CCCCCCCCC(CO)CCCCCC,43
J52-Cl,0,Cc1cc2cc3sccc3cc2s1,7
J52-Cl,1,Clc1ccsc1,6
J52-Cl,2,CCCCC(C)CC,1
J52-Cl,3,Clc1ccsc1,6
J52-Cl,4,CCCCC(C)CC,1
J52-Cl,5,c1ccsc1,0
J52-Cl,6,FC1CC2NNNC2CC1F,13
J52-Cl,7,CCCCCCCCC(C)CCCCCC,5
J52-Cl,8,Cc1cccs1,2
J52-2F,0,Cc1cc2cc3sccc3cc2s1,7
J52-2F,1,Fc1ccsc1,4
J52-2F,2,CCCCC(C)CC,1
J52-2F,3,Fc1ccsc1,4
J52-2F,4,CCCCC(C)CC,1
