,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
PBQ6,2,18,4,1,4,1,0,3,4,1,4,1,,,,,,,,
PBQ9,2,18,6,1,6,1,0,3,4,1,4,1,,,,,,,,
PBDF-NS,13,0,34,59,23,59,23,5,2,,,,,,,,,,,
PThBDTP,2,86,10,64,10,,,,,,,,,,,,,,,
PSeTD2,37,5,5,,,,,,,,,,,,,,,,,
PThTD2,38,5,2,5,,,,,,,,,,,,,,,,
PSeTD1,37,10,10,,,,,,,,,,,,,,,,,
PThTD1,38,10,2,10,,,,,,,,,,,,,,,,
PM6,7,4,1,0,14,1,1,2,4,1,,,,,,,,,,
PM7,7,6,1,0,14,1,1,2,6,1,,,,,,,,,,
2D-PBTCl2,77,6,17,3,0,1,0,1,,,,,,,,,,,,
PBDB-T,7,0,1,0,14,1,1,2,0,1,,,,,,,,,,
PTB7-Th,7,0,1,25,17,0,1,,,,,,,,,,,,,
P3HT,2,8,0,0,8,2,8,8,,,,,,,,,,,,
J71,2,13,5,0,7,53,53,,,,,,,,,,,,,
PBDB-T-2Cl,2,14,1,1,0,3,6,1,6,1,,,,,,,,,,
J51,13,2,12,0,3,0,5,0,5,,,,,,,,,,,
PTQ10,2,18,43,,,,,,,,,,,,,,,,,
J52-Cl,7,6,1,6,1,0,13,5,2,,,,,,,,,,,
J52-2F,7,4,1,4,1,0,13,5,2,,,,,,,,,,,
PBT1-C,7,15,9,15,9,0,14,2,1,1,,,,,,,,,,
J60,13,2,5,0,3,0,11,0,11,,,,,,,,,,,
DRCN5T,21,58,21,0,21,0,0,58,21,21,21,,,,,,,,,
P2F-Ehp,26,3,0,33,12,2,1,26,1,1,,,,,,,,,,
PDCBT,28,2,0,0,2,28,,,,,,,,,,,,,,
PDCBT-Cl,28,2,0,6,2,28,,,,,,,,,,,,,,
PTPDBDT,79,1,3,0,1,0,1,,,,,,,,,,,,,
